Model_A,Model_B,W,p_value,z,r_effect,p_adj
Logistic Regression (All),Random Forest (Chi-square - inCV),137.0,1.6198182883897516e-07,-5.238391877863375,-0.740820483869945,9.816098827641895e-05
Logistic Regression (All),Random Forest (KS - inCV),188.0,4.268415494834699e-06,-4.597865422075181,-0.6502363637865015,0.0023177496136952414
Logistic Regression (All),Logistic Regression (MW - inCV),233.5,9.621362915533919e-05,-3.8999472982848498,-0.5515358361774745,0.044450696669766705
Logistic Regression (All),Logistic Regression (Wilcoxon - inCV),223.0,6.299348063159924e-05,-4.001307314700668,-0.5658703071672354,0.029543942416220045
Logistic Regression (All),Logistic Regression (Kruskal - inCV),155.0,5.572207957271758e-07,-5.005483176963374,-0.7078822195091969,0.0003259741655003978
Logistic Regression (All),Logistic Regression (Chi-square - inCV),280.0,0.0003825853095680287,-3.551813926535002,-0.5023023425931435,0.16489426842382038
Logistic Regression (All),Logistic Regression (KS - inCV),295.5,0.0009618972232820032,-3.3014405346866793,-0.4668941979522184,0.38572078653608327
Logistic Regression (All),SVM (MW - inCV),369.0,0.008848884696840642,-2.617837833836914,-0.37021817687055686,1.0
Logistic Regression (All),SVM (Wilcoxon - inCV),315.0,0.0030830029729874086,-2.9593384527162723,-0.41851365754835623,1.0
Logistic Regression (All),SVM (Kruskal - inCV),324.0,0.0024753533020201294,-3.026338116117698,-0.4279888408140291,0.9158807217474478
Logistic Regression (All),SVM (Chi-square - inCV),336.0,0.005951765777890864,-2.7504269641000256,-0.3889691114946914,1.0
Logistic Regression (All),SVM (KS - inCV),497.5,0.17654592065928587,-1.3514668855442549,-0.19112627986348124,1.0
Logistic Regression (All),K-Neighbors (MW - inCV),446.0,0.064886242135481,-1.846041071343809,-0.2610696319792173,1.0
Logistic Regression (All),K-Neighbors (Wilcoxon - inCV),420.0,0.03539143616493412,-2.1038511174825234,-0.2975294783557576,1.0
Logistic Regression (All),K-Neighbors (Kruskal - inCV),351.0,0.0050721514649119115,-2.8024154179590273,-0.3963213891481122,1.0
Logistic Regression (All),K-Neighbors (Chi-square - inCV),367.0,0.008333363871146915,-2.638256030883085,-0.373105745988747,1.0
Logistic Regression (All),K-Neighbors (KS - inCV),555.0,0.43191110415215306,-0.785925551515467,-0.1111466573968728,1.0
Logistic Regression (All),Decision Tree (MW - inCV),466.0,0.09908592454842413,-1.6493012947201122,-0.23324642594326878,1.0
Logistic Regression (All),Decision Tree (Wilcoxon - inCV),420.0,0.03576401284644463,-2.099600340041967,-0.2969283276450512,1.0
Logistic Regression (All),Decision Tree (Kruskal - inCV),387.0,0.015598595412159131,-2.41817447555816,-0.34198151395187965,1.0
Logistic Regression (All),Decision Tree (Chi-square - inCV),486.0,0.14601836144972324,-1.4537401528120055,-0.2055899040273074,1.0
Logistic Regression (All),Decision Tree (KS - inCV),500.0,0.18768390417341507,-1.3174617203779069,-0.1863172232865826,1.0
Logistic Regression (All),Naive Bayes (MW - inCV),216.0,1.9760169596594324e-05,-4.267583637180055,-0.6035274658261535,0.010018405985473322
Logistic Regression (All),Naive Bayes (Wilcoxon - inCV),200.0,2.4071466407921403e-05,-4.223334017325797,-0.5972696245733791,0.0120357332039607
Logistic Regression (All),Naive Bayes (Kruskal - inCV),185.0,3.586156610779767e-06,-4.634029613272017,-0.6553507527527835,0.0019616276660965326
Logistic Regression (All),Naive Bayes (Chi-square - inCV),84.0,2.1246773229677274e-09,-5.9879765152793105,-0.8468277599079586,1.4787754167855383e-06
Logistic Regression (All),Naive Bayes (KS - inCV),166.0,1.1326234101716182e-06,-4.867074500820136,-0.6883082768140097,0.0006478605906181656
Logistic Regression (All),Integrated-SelectFromModel (L1-LR selector) + LR,14.0,1.7565587728239223e-09,6.0188543081203045,0.8511945392491466,1.2416181725411653e-06
Logistic Regression (All),Integrated-SelectFromModel (L1-LR selector) + SVM,23.0,1.1368683772161603e-12,7.112830539255548,1.005906141547673,9.185896487906575e-10
